Date,Last/Close,Open,High,Low,Volume
19/11/2018,3395.35,3371.55,3403.8,3365.65,56671196.0
20/11/2018,3299.2,3379.8,3381.3,3290.7,82661832.0
21/11/2018,3272.7,3291.25,3291.25,3258.05,80356409.0
22/11/2018,3214.75,3281.4,3286.45,3207.5,61544975.0
26/11/2018,3172.3,3226.05,3226.2,3120.45,94001134.0
27/11/2018,3148.95,3157.0,3189.85,3092.2,122059403.0
28/11/2018,3117.4,3156.95,3165.55,3109.1,77097933.0
29/11/2018,3177.25,3156.4,3190.6,3141.15,109912936.0
30/11/2018,3163.75,3187.1,3190.6,3140.4,80167805.0
03/12/2018,3227.85,3225.85,3262.9,3221.2,92299964.0
04/12/2018,3236.55,3213.7,3242.25,3204.85,62430732.0
05/12/2018,3119.6,3199.55,3204.2,3112.0,80076500.0
06/12/2018,3085.4,3090.2,3119.4,3041.85,90139051.0
07/12/2018,3071.2,3102.8,3110.1,3042.0,73963769.0
10/12/2018,3036.25,3009.25,3060.65,2997.15,77843291.0
11/12/2018,3055.35,2993.3,3064.6,2985.05,74603634.0
12/12/2018,3133.05,3072.25,3139.65,3068.35,76637002.0
13/12/2018,3114.0,3164.3,3164.3,3094.05,70094173.0
14/12/2018,3112.35,3102.2,3134.8,3085.55,54996769.0
17/12/2018,3175.1,3161.35,3181.85,3148.45,83362174.0
18/12/2018,3198.15,3167.05,3207.85,3160.05,60929679.0
19/12/2018,3211.15,3211.7,3222.7,3190.3,63313982.0
20/12/2018,3177.9,3177.0,3189.45,3158.05,76526182.0
21/12/2018,3162.3,3186.2,3208.5,3153.55,78087943.0
24/12/2018,3089.85,3158.05,3158.85,3085.1,57039771.0
26/12/2018,3098.45,3070.25,3110.5,3049.6,73935046.0
27/12/2018,3089.0,3133.55,3144.55,3080.3,141850446.0
28/12/2018,3112.2,3083.15,3121.1,3082.6,72305608.0
31/12/2018,3154.6,3137.25,3167.25,3133.75,81523412.0
01/1/2019,3135.25,3162.25,3164.05,3122.4,40505072.0
02/1/2019,3028.45,3095.55,3097.1,3021.65,96283282.0
03/1/2019,2960.4,3030.9,3031.15,2956.2,89885691.0
04/1/2019,3001.7,2959.25,3013.35,2949.3,89989395.0
07/1/2019,2997.1,3040.65,3055.3,2991.45,66062618.0
08/1/2019,3010.3,3000.55,3021.35,2987.6,71438988.0
09/1/2019,2975.5,3020.4,3031.7,2951.9,90222621.0
10/1/2019,2972.35,2979.7,2990.05,2961.15,58939337.0
11/1/2019,2971.25,2980.3,3003.5,2961.6,60820607.0
14/1/2019,2939.35,2969.7,2969.75,2930.1,56454301.0
15/1/2019,2986.3,2953.3,2989.75,2937.0,64651310.0
16/1/2019,2967.05,2997.65,3003.95,2963.15,61573323.0
17/1/2019,2963.05,2974.9,2981.65,2948.1,56460592.0
18/1/2019,2957.1,2969.75,2980.3,2940.75,49723159.0
21/1/2019,2945.8,2967.2,2975.4,2938.75,43679406.0
22/1/2019,2880.65,2936.05,2936.05,2864.5,71433596.0
23/1/2019,2896.9,2881.3,2921.2,2877.35,56023579.0
24/1/2019,2893.5,2899.95,2902.1,2864.15,43614797.0
25/1/2019,2857.55,2905.95,2921.6,2846.95,51696479.0
28/1/2019,2827.15,2859.2,2862.2,2802.35,54734856.0
29/1/2019,2828.35,2823.75,2846.35,2803.75,48811996.0
30/1/2019,2882.05,2835.05,2892.35,2830.8,76238031.0
31/1/2019,2915.85,2899.85,2920.35,2875.6,106481396.0
01/2/2019,2815.65,2867.9,2867.9,2777.3,163561461.0
04/2/2019,2794.45,2814.3,2815.9,2737.25,83039665.0
05/2/2019,2768.3,2791.75,2806.6,2749.25,61569729.0
06/2/2019,2832.95,2776.35,2842.5,2741.25,71753345.0
07/2/2019,2835.8,2829.85,2855.05,2806.6,66561603.0
08/2/2019,2740.5,2821.65,2826.9,2731.7,93084422.0
11/2/2019,2725.2,2739.6,2756.1,2675.5,116314919.0
12/2/2019,2767.95,2724.4,2805.2,2713.0,144981172.0
13/2/2019,2741.7,2785.4,2796.45,2733.95,90932779.0
